+-----+---------------------+----------------------------------+-------------+
| Idx |        Area         |             Climate              | Climate idx |
| 67  | EldinCanyon         | EldinClimateLv2                  | 14          |
| 68  | LanayruWaterSources | ZoraTemperateClimate             | 9           |
| 69  | LanayruWetlands     | HyrulePlainClimate               | 0           |
| 70  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 71  | TamulPlateau        | TamourPlainClimate               | 8           |
| 72  | GerudoDesert        | GerudoDesertClimate              | 5           |
| 73  | GerudoHighlands     | GerudoPlateauClimate             | 6           |
| 74  | FironeGrassland     | HateruPlainClimate               | 10          |
| 75  | TamulPlateau        | TamourPlainClimate               | 8           |
| 76  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 77  | HyruleHill          | HyrulePlainClimate               | 0           |
| 78  | EastHateru          | HateruPlainClimate               | 10          |
| 79  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 80  | TabantaFrontier     | HyrulePlainClimate               | 0           |
| 81  | HyruleHill          | HyrulePlainClimate               | 0           |
| 82  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 83  | TabantaFrontier     | TabantaAridClimate               | 3           |
| 84  | LanayruWaterSources | ZoraTemperateClimate             | 9           |
| 85  | LanayruWaterSources | ZoraTemperateClimate             | 9           |
| 86  | EastHateru          | HateruPlainClimate               | 10          |
| 87  | GerudoDesert        | GerudoDesertClimate              | 5           |
| 88  | HyruleForest        | DarkWoodsClimat                  | 15          |
| 89  | EldinMountains      | EldinClimateLv0                  | 7           |
| 90  | FironeGrassland     | HateruPlainClimate               | 10          |
| 91  | EldinCanyon         | EldinClimateLv0                  | 7           |
| 92  | EldinCanyon         | EldinClimateLv0                  | 7           |
| 93  | WestHateru          | HateruPlainClimate               | 10          |
+-----+---------------------+----------------------------------+-------------+
